,Index,Bond length 1,Bond length 2,Bond length 3,Dihedral angle,Bond name
665,142 139 154 189,1.6256921144391536,1.6237444000820744,1.6438860810237432,-143.10950580402465,Si O Si O
666,139 142 146 147,1.6256921144391536,1.6111042854094142,1.620742709419741,78.00058451147422,O Si O Si
667,141 142 146 147,1.6186836766061168,1.6111042854094142,1.620742709419741,-159.8751711845438,O Si O Si
668,143 142 146 147,1.6195655129374482,1.6111042854094142,1.620742709419741,-40.86115275646787,O Si O Si
669,142 146 147 144,1.6111042854094142,1.620742709419741,1.6255992696974058,109.41464907442094,Si O Si O
670,142 146 147 148,1.6111042854094142,1.620742709419741,1.5936369474794874,-4.766435995845863,Si O Si O
671,142 146 147 150,1.6111042854094142,1.620742709419741,1.620498178634236,-129.97172772935147,Si O Si O
672,146 147 144 156,1.620742709419741,1.6255992696974058,1.6138981051172017,58.34518053671244,O Si O Si
673,148 147 144 156,1.5936369474794874,1.6255992696974058,1.6138981051172017,177.1439262837992,O Si O Si
674,150 147 144 156,1.620498178634236,1.6255992696974058,1.6138981051172017,-54.80957883943396,O Si O Si
675,147 144 156 46,1.6255992696974058,1.6138981051172017,1.6148931692863258,159.85088648873136,Si O Si O
676,147 144 156 50,1.6255992696974058,1.6138981051172017,1.6207418109876963,37.15074014277957,Si O Si O
677,147 144 156 155,1.6255992696974058,1.6138981051172017,1.601047360276213,-81.11418032829614,Si O Si O
678,144 147 150 209,1.6255992696974058,1.620498178634236,1.6126537796876437,124.08048942420864,O Si O Si
679,146 147 150 209,1.620742709419741,1.620498178634236,1.6126537796876437,1.0196074925861038,O Si O Si
680,148 147 150 209,1.5936369474794874,1.620498178634236,1.6126537796876437,-117.62522723226407,O Si O Si
681,147 150 209 194,1.620498178634236,1.6126537796876437,1.609877350068207,71.48847561454834,Si O Si O
682,147 150 209 197,1.620498178634236,1.6126537796876437,1.6550289507025595,-54.105261074299726,Si O Si O
683,147 150 209 208,1.620498178634236,1.6126537796876437,1.6260380307348088,-175.17426052811373,Si O Si O
684,48 151 153 205,1.6043521712098254,1.622780423463105,1.6073513770830181,-108.70375737439423,O Si O Si
685,145 151 153 205,1.6138199961793933,1.622780423463105,1.6073513770830181,13.749207426588255,O Si O Si
686,155 151 153 205,1.587879016148726,1.622780423463105,1.6073513770830181,134.33239648823152,O Si O Si
687,151 153 205 152,1.622780423463105,1.6073513770830181,1.6115049189418928,-56.99304213309166,Si O Si O
688,151 153 205 191,1.622780423463105,1.6073513770830181,1.6029412931511642,179.02810102894313,Si O Si O
689,151 153 205 207,1.622780423463105,1.6073513770830181,1.600087634106681,58.051782501492866,Si O Si O
690,48 151 155 156,1.6043521712098254,1.587879016148726,1.601047360276213,145.3025955506848,O Si O Si
691,145 151 155 156,1.6138199961793933,1.587879016148726,1.601047360276213,24.71574219927158,O Si O Si
692,153 151 155 156,1.622780423463105,1.587879016148726,1.601047360276213,-98.02350548067788,O Si O Si
693,151 155 156 46,1.587879016148726,1.601047360276213,1.6148931692863258,159.6185650023958,Si O Si O
694,151 155 156 50,1.587879016148726,1.601047360276213,1.6207418109876963,-76.74457994808677,Si O Si O
695,151 155 156 144,1.587879016148726,1.601047360276213,1.6138981051172017,34.77172028182676,Si O Si O
696,45 154 189 190,1.621503650673602,1.6438860810237432,1.6301117317383966,-126.15107040656498,O Si O Si
697,136 154 189 190,1.5987002413954199,1.6438860810237432,1.6301117317383966,-12.218548427092038,O Si O Si
698,139 154 189 190,1.6237444000820744,1.6438860810237432,1.6301117317383966,110.36669027504189,O Si O Si
699,154 189 190 93,1.6438860810237432,1.6301117317383966,1.630565566447974,88.42634749833255,Si O Si O
700,154 189 190 108,1.6438860810237432,1.6301117317383966,1.633493257250732,-152.56344106460605,Si O Si O
701,154 189 190 195,1.6438860810237432,1.6301117317383966,1.6019554656741606,-29.83465874464475,Si O Si O
702,135 157 182 176,1.5804218658815339,1.6055050217553213,1.6099386453068096,-139.56825011803048,O Si O Si
703,203 157 182 176,1.6028550660480954,1.6055050217553213,1.6099386453068096,-21.402788852979985,O Si O Si
704,207 157 182 176,1.6108194328876244,1.6055050217553213,1.6099386453068096,98.18816264925346,O Si O Si
705,157 182 176 165,1.6055050217553213,1.6099386453068096,1.6065955703618728,77.63751044523751,Si O Si O
706,157 182 176 177,1.6055050217553213,1.6099386453068096,1.5953099776150732,-157.9089040208283,Si O Si O
707,157 182 176 184,1.6055050217553213,1.6099386453068096,1.6006376665764175,-41.57999703808824,Si O Si O
708,135 157 203 206,1.5804218658815339,1.6028550660480954,1.60373362757698,-117.1678240193526,O Si O Si
709,182 157 203 206,1.6055050217553213,1.6028550660480954,1.60373362757698,121.04192874849353,O Si O Si
710,207 157 203 206,1.6108194328876244,1.6028550660480954,1.60373362757698,6.770703840825467,O Si O Si
711,157 203 206 161,1.6028550660480954,1.60373362757698,1.6024413322051867,177.70359733697163,Si O Si O
712,157 203 206 201,1.6028550660480954,1.60373362757698,1.631802263244932,65.2237086796378,Si O Si O
713,157 203 206 210,1.6028550660480954,1.60373362757698,1.6409288934131754,-64.61651500399483,Si O Si O
714,135 157 207 205,1.5804218658815339,1.6108194328876244,1.600087634106681,21.138478047622463,O Si O Si
715,182 157 207 205,1.6055050217553213,1.6108194328876244,1.600087634106681,141.85694536088363,O Si O Si
