,Index,Bond length 1,Bond length 2,Length 3,Bond name,Bond Angle
326,55 10 4,1.6217826344602406,1.6301102416524935,2.6972758157758157,O Si O,112.08388456055354
328,11 10 6,1.607525740317708,1.6129678329727293,2.5634909338545575,O Si O,105.49820613787364
329,55 10 6,1.6217826344602406,1.6129678329727293,2.688374993420182,O Si O,112.42185336944014
332,55 10 11,1.6217826344602406,1.607525740317708,2.6056322246017563,O Si O,107.58167210233928
336,12 13 6,1.6226335418633921,1.6107598161333747,2.6414181916071193,O Si O,109.55441970642916
337,17 13 6,1.592771817559818,1.6107598161333747,2.609585106635175,O Si O,109.093648259107
338,19 13 6,1.603655361018171,1.6107598161333747,2.5943258156510343,O Si O,107.62517109023295
340,17 13 12,1.592771817559818,1.6226335418633921,2.6211659174142015,O Si O,109.20877136249446
341,19 13 12,1.603655361018171,1.6226335418633921,2.703520113484036,O Si O,113.85059659804337
344,19 13 17,1.603655361018171,1.592771817559818,2.5760765569420787,O Si O,107.39863347878963
348,15 16 3,1.5926976151170367,1.6303846897690504,2.6764341792609603,O Si O,112.27358950486783
349,30 16 3,1.594908519273265,1.6303846897690504,2.6482795685848655,O Si O,110.38476015925163
350,33 16 3,1.6131267912638088,1.6303846897690504,2.679973492666924,O Si O,111.43113721726324
352,30 16 15,1.594908519273265,1.5926976151170367,2.504181317019031,O Si O,103.55226852809957
353,33 16 15,1.6131267912638088,1.5926976151170367,2.6196935319447863,O Si O,109.60272894822182
356,33 16 30,1.6131267912638088,1.594908519273265,2.6164545739400835,O Si O,109.29097812074433
360,25 18 5,1.5869945590956127,1.61146045834392,2.6494002842052953,O Si O,111.85440758096206
361,32 18 5,1.6304063831449789,1.61146045834392,2.674973910228292,O Si O,111.20277830580476
362,54 18 5,1.5909867741879495,1.61146045834392,2.6140556474995247,O Si O,109.42423546237801
364,32 18 25,1.6304063831449789,1.5869945590956127,2.571540256471833,O Si O,106.11116891335901
365,54 18 25,1.5909867741879495,1.5869945590956127,2.530358776286625,O Si O,105.54040555125083
368,54 18 32,1.5909867741879495,1.6304063831449789,2.679552620530693,O Si O,112.56230844372372
372,22 20 8,1.610168951922773,1.6215054064141194,2.5894901895920257,O Si O,106.50532833235184
373,24 20 8,1.6389704436939523,1.6215054064141194,2.7523869865016013,O Si O,115.16460570091499
374,59 20 8,1.6231459304732327,1.6215054064141194,2.6438671260357522,O Si O,109.14280024517653
376,24 20 22,1.6389704436939523,1.610168951922773,2.5768036940872783,O Si O,104.94372735838031
377,59 20 22,1.6231459304732327,1.610168951922773,2.7065915372816742,O Si O,113.66862145311156
